record_id,budget_allocated,expenditure,utilisation_ratio,state,district,financial_year,label,confidence_label,source_file
MPL-BR-2018-000063,,,,Bihar,Purnia,2018,,,synthetic_dataset.csv
MPL-GJ-2021-000064,584700.0,464403.4,0.7942592782623568,Gujarat,Ahmedabad,2021,,,synthetic_dataset.csv
MPL-RJ-2019-000065,193200.0,,,Rajasthan,Bikaner,,,,synthetic_dataset.csv
MPL-BR-2018-000066,225100.0,197112.55,0.8756665926254997,Bihar,Bhagalpur,2018,,,synthetic_dataset.csv
MPL-BR-2016-000067,118900.0,109211.89,0.9185188393608074,Bihar,Bhagalpur,2016,,,synthetic_dataset.csv
MPL-KA-2016-000068,422100.0,379742.04,0.8996494669509595,Karnataka,Shivamogga,2016,,,synthetic_dataset.csv
MPL-UP-2019-000069,147000.0,109923.4,0.747778231292517,Uttar Pradesh,Varanasi,2019,,,synthetic_dataset.csv
MPL-WB-2016-000070,,442560.85,,West Bengal,Nadia,2016,,,synthetic_dataset.csv
MPL-MH-2016-000071,1001100.0,724692.47,0.7238961841973829,,Latur,2016,,,synthetic_dataset.csv
MPL-WB-2019-000072,634500.0,,,West Bengal,Murshidabad,2019,,,synthetic_dataset.csv
MPL-AP-2020-000073,622500.0,676101.07,1.0861061365461846,Andhra Pradesh,Visakhapatnam,2020,,,synthetic_dataset.csv
MPL-MH-2016-000074,3375000.0,3547853.32,1.0512157985185184,Maharashtra,Amravati,2016,,,synthetic_dataset.csv
MPL-UP-2017-000075,1070200.0,1199383.05,1.120709259951411,Uttar Pradesh,Kanpur Nagar,2017,,,synthetic_dataset.csv
MPL-KA-2022-000076,1481200.0,,,Karnataka,Ballari,2022,,,synthetic_dataset.csv
MPL-KA-2020-000077,335200.0,322265.64,0.9614130071599046,Karnataka,Vijayapura,2020,,,synthetic_dataset.csv
MPL-RJ-2019-000078,175200.0,189050.36,1.0790545662100455,Rajasthan,Bhilwara,2019,,,synthetic_dataset.csv
MPL-BR-2022-000079,565200.0,498506.45,0.8820000884642605,Bihar,Bhagalpur,2022,,,synthetic_dataset.csv
MPL-GJ-2022-000080,574400.0,621155.96,1.0813996518105848,Gujarat,Rajkot,2022,,,synthetic_dataset.csv
MPL-RJ-2021-000081,826200.0,774761.85,0.9377412854030501,Rajasthan,Bhilwara,2021,,,synthetic_dataset.csv
MPL-WB-2022-000082,245500.0,228893.67,0.9323571079429736,West Bengal,Murshidabad,2022,,,synthetic_dataset.csv
MPL-GJ-2018-000083,348000.0,,,Gujarat,Kachchh,2018,,,synthetic_dataset.csv
MPL-MH-2018-000084,,689527.39,,NA,Nashik,2018,,,synthetic_dataset.csv
MPL-UP-2017-000085,1691700.0,1921463.97,1.1358183897854228,,Varanasi,2017,,,synthetic_dataset.csv
MPL-UP-2022-000086,506100.0,,,unknown,Bareilly,2023,,,synthetic_dataset.csv
MPL-MP-2020-000087,320700.0,330507.93,1.0305828811973807,Madhya Pradesh,Sagar,2020,,,synthetic_dataset.csv
MPL-WB-2020-000088,696900.0,630388.91,0.904561500932702,West Bengal,,2020,,,synthetic_dataset.csv
MPL-MH-2020-000089,,1729339.53,,Maharashtra,Nashik,2021,,,synthetic_dataset.csv
MPL-BR-2016-000090,755200.0,,,Bihar,Patna,2016,,,synthetic_dataset.csv
MPL-MH-2021-000091,918300.0,,,Maharashtra,Nagpur,2021,,,synthetic_dataset.csv
MPL-MP-2021-000092,514100.0,409205.6,0.7959649873565454,Madhya Pradesh,Jabalpur,2021,,,synthetic_dataset.csv
MPL-WB-2019-000093,115800.0,,,West Bengal,Hooghly,2019,,,synthetic_dataset.csv
MPL-TN-2021-000094,1539200.0,,,Tamil Nadu,,2021,,,synthetic_dataset.csv
MPL-KA-2015-000095,11834.54,9276.92,0.7838851362199122,Karnataka,Shivamogga,2015,,,synthetic_dataset.csv
MPL-RJ-2017-000096,,,,Rajasthan,Udaipur,2017,,,synthetic_dataset.csv
MPL-TN-2015-000097,1084000.0,1116900.49,1.0303510055350553,Tamil Nadu,Thanjavur,2015,,,synthetic_dataset.csv
MPL-UP-2017-000098,3109800.0,3025880.53,0.9730145121872789,-,Bareilly,2017,,,synthetic_dataset.csv
MPL-UP-2017-000099,1947000.0,1886066.03,0.9687036620441706,Uttar Pradesh,Jhansi,2017,,,synthetic_dataset.csv
MPL-PB-2017-000100,,890764.02,,Punjab,Amritsar,2017,,,synthetic_dataset.csv
MPL-OD-2016-000101,791900.0,867359.63,1.0952893420886476,Odisha,Ganjam,2016,,,synthetic_dataset.csv
MPL-MP-2017-000102,359100.0,380418.53,1.0593665552770817,Madhya Pradesh,Gwalior,2017,,,synthetic_dataset.csv
MPL-KA-2017-000103,1221000.0,1298166.53,1.0631994512694514,Karnataka,Mysuru,2017,,,synthetic_dataset.csv
MPL-PB-2019-000104,1144200.0,1131442.65,0.9888504195070791,Punjab,Patiala,2019,,,synthetic_dataset.csv
MPL-GJ-2020-000105,,43278079.27,,Gujarat,Rajkot,2020,,,synthetic_dataset.csv
MPL-MP-2019-000106,152800.0,122426.27,0.8012190445026178,Madhya Pradesh,Ujjain,2019,,,synthetic_dataset.csv
MPL-WB-2018-000107,,252468.19,,West Bengal,Hooghly,2018,,,synthetic_dataset.csv
MPL-KA-2016-000108,,175622.47,,Karnataka,,2016,,,synthetic_dataset.csv
MPL-UP-2016-000109,651300.0,,,Uttar Pradesh,,2016,,,synthetic_dataset.csv
MPL-OD-2022-000110,1448700.0,,,Odisha,Cuttack,2022,,,synthetic_dataset.csv
MPL-WB-2019-000111,446000.0,,,West Bengal,,2019,,,synthetic_dataset.csv
MPL-MH-2020-000112,1047300.0,1091319.01,1.0420309462427193,Maharashtra,Kolhapur,2020,,,synthetic_dataset.csv
MPL-KA-2017-000113,788700.0,,,Karnataka,Shivamogga,2017,,,synthetic_dataset.csv
MPL-BR-2017-000114,1050400.0,,,Bihar,Saran,2018,,,synthetic_dataset.csv
MPL-MH-2018-000115,168400.0,,,Maharashtra,Chhatrapati Sambhajinagar,2018,,,synthetic_dataset.csv
MPL-AP-2018-000116,998700.0,726876.86,0.7278230299389206,Andhra Pradesh,Anantapur,2018,,,synthetic_dataset.csv
MPL-MP-2015-000117,787500.0,816158.34,1.0363915428571429,Madhya Pradesh,Chhindwara,2015,,,synthetic_dataset.csv
MPL-MP-2017-000118,1234700.0,1124704.17,0.910912910018628,,Sagar,2017,,,synthetic_dataset.csv
MPL-WB-2016-000119,2531800.0,2344371.13,0.9259701121731574,West Bengal,Nadia,2016,,,synthetic_dataset.csv
MPL-RJ-2015-000120,,2896843.06,,Rajasthan,-,2015,,,synthetic_dataset.csv
MPL-BR-2021-000121,1080900.0,996254.57,0.9216898603016005,Bihar,Saran,2021,,,synthetic_dataset.csv
MPL-RJ-2019-000122,1343100.0,,,Rajasthan,Alwar,2019,,,synthetic_dataset.csv
MPL-UP-2022-000123,,615394.4,,Uttar Pradesh,Bareilly,2022,,,synthetic_dataset.csv
MPL-WB-2015-000124,240400.0,189517.49,0.7883423044925124,NULL,Murshidabad,2015,,,synthetic_dataset.csv
MPL-UP-2020-000125,722600.0,731666.06,1.0125464433988376,Uttar Pradesh,Gorakhpur,2020,,,synthetic_dataset.csv
MPL-WB-2015-000126,777800.0,759975.6,0.9770835690408846,West Bengal,Jalpaiguri,2015,,,synthetic_dataset.csv
MPL-TN-2022-000127,593400.0,535113.23,0.901774907313785,Tamil Nadu,Madurai,2022,,,synthetic_dataset.csv
MPL-MH-2016-000128,142600.0,152800.67,1.0715334502103788,Maharashtra,Pune,2016,,,synthetic_dataset.csv
MPL-UP-2019-000129,1115500.0,1010313.12,0.905704276109368,,Meerut,2019,,,synthetic_dataset.csv
MPL-BR-2015-000130,1286100.0,1221795.76,0.9500005909338309,Bihar,Saran,2015,,,synthetic_dataset.csv
MPL-MH-2020-000131,,504864.83,,Maharashtra,Nashik,2020,,,synthetic_dataset.csv
MPL-OD-2018-000132,,280607.13,,Odisha,Balasore,2018,,,synthetic_dataset.csv
MPL-BR-2022-000133,1571200.0,1525826.31,0.9711216331466396,Bihar,Saran,2022,,,synthetic_dataset.csv
MPL-TN-2017-000134,,341419.44,,Tamil Nadu,Salem,2017,,,synthetic_dataset.csv
MPL-BR-2015-000135,268100.0,265162.37,0.9890427825438269,Bihar,Nalanda,2015,,,synthetic_dataset.csv
MPL-UP-2016-000136,238600.0,170239.82,0.7134946353730093,Uttar Pradesh,Varanasi,2016,,,synthetic_dataset.csv
MPL-MP-2022-005166,,517908.82,,Punjab,Ludhiana,2022,,,synthetic_dataset.csv
MPL-WB-2022-000138,541400.0,,,West Bengal,N/A,2023,,,synthetic_dataset.csv
MPL-GJ-2021-000139,245600.0,262279.33,1.0679125814332249,Gujarat,Rajkot,2021,,,synthetic_dataset.csv
MPL-UP-2015-000140,185900.0,170652.44,0.9179797740720818,Uttar Pradesh,,2015,,,synthetic_dataset.csv
MPL-WB-2017-000141,265100.0,262519.23,0.9902649188985287,West Bengal,Purulia,2017,,,synthetic_dataset.csv
MPL-WB-2016-000142,,1115900.68,,West Bengal,Jalpaiguri,2016,,,synthetic_dataset.csv
MPL-OD-2022-000143,145600.0,149256.93,1.0251162774725273,Odisha,Koraput,2022,,,synthetic_dataset.csv
MPL-BR-2015-000144,124800.0,120134.18,0.9626136217948718,Bihar,Purnia,2015,,,synthetic_dataset.csv
MPL-WB-2022-000145,1379700.0,1285633.36,0.9318209465825905,West Bengal,Bankura,2022,,,synthetic_dataset.csv
MPL-KA-2018-000146,35521629.3,,,Karnataka,Mysuru,2018,,,synthetic_dataset.csv
MPL-TN-2021-000147,89500.0,92802.56,1.0369001117318435,Tamil Nadu,Madurai,2021,,,synthetic_dataset.csv
MPL-BR-2022-000148,,89410.33,,Bihar,Gaya,2022,,,synthetic_dataset.csv
MPL-WB-2022-000149,,806691.21,,West Bengal,Nadia,2022,,,synthetic_dataset.csv
MPL-UP-2017-000150,,907880.91,,Uttar Pradesh,Varanasi,2020,,,synthetic_dataset.csv
MPL-GJ-2015-000151,197000.0,205631.86,1.0438165482233501,Gujarat,Mehsana,2015,,,synthetic_dataset.csv
MPL-AP-2020-000152,970800.0,1054727.64,1.0864520395550061,Andhra Pradesh,Srikakulam,2020,,,synthetic_dataset.csv
MPL-MH-2021-000153,511000.0,560266.52,1.096411976516634,Maharashtra,Pune,2021,,,synthetic_dataset.csv
MPL-BR-2020-000154,2418000.0,2294812.19,0.9490538420181969,Bihar,Bhagalpur,2020,,,synthetic_dataset.csv
MPL-OD-2022-016676,562300.0,559878.48,0.995693544371332,Uttar Pradesh,Meerut,2016,,,synthetic_dataset.csv
MPL-RJ-2022-000156,1740700.0,1989079.42,1.1426893893261332,Rajasthan,Barmer,2022,,,synthetic_dataset.csv
MPL-KA-2015-000157,1561900.0,1614741.22,1.033831372046866,Karnataka,Ballari,2015,,,synthetic_dataset.csv
MPL-RJ-2016-000158,284800.0,311281.16,1.0929816011235953,Rajasthan,Bhilwara,2016,,,synthetic_dataset.csv
MPL-MP-2015-000159,972200.0,,,Madhya Pradesh,Sagar,2015,,,synthetic_dataset.csv
MPL-GJ-2018-000160,37950.67,32407.93,0.8539488235649068,Gujarat,Ahmedabad,2018,,,synthetic_dataset.csv
MPL-UP-2018-000161,809100.0,734353.15,0.9076172908169572,Uttar Pradesh,Meerut,2018,,,synthetic_dataset.csv
MPL-OD-2021-000162,788900.0,,,Odisha,Sambalpur,2021,,,synthetic_dataset.csv
MPL-MH-2021-000163,1333800.0,1211485.48,0.9082962063277853,Maharashtra,Amravati,2021,,,synthetic_dataset.csv
MPL-UP-2016-000164,22872263.11,,,NULL,Gorakhpur,2016,,,synthetic_dataset.csv
MPL-BR-2021-000165,133100.0,,,Bihar,N/A,2021,,,synthetic_dataset.csv
MPL-TN-2021-000166,366400.0,332794.93,0.9082831058951965,Tamil Nadu,Thanjavur,2021,,,synthetic_dataset.csv
MPL-GJ-2021-000167,885900.0,749055.76,0.8455308274071566,Gujarat,Mehsana,2021,,,synthetic_dataset.csv
MPL-GJ-2018-000168,449000.0,,,Gujarat,Junagadh,2018,,,synthetic_dataset.csv
MPL-KA-2016-000169,114300.0,117981.83,1.0322119860017498,Karnataka,Hassan,2016,,,synthetic_dataset.csv
MPL-OD-2017-000170,508000.0,,,Odisha,Bolangir,2017,,,synthetic_dataset.csv
MPL-KA-2016-000171,510300.0,,,Karnataka,Vijayapura,2016,,,synthetic_dataset.csv
MPL-BR-2018-000172,635500.0,669576.08,1.05362089693155,Bihar,Gaya,2018,,,synthetic_dataset.csv
MPL-KA-2021-000173,89900.0,76810.58,0.8544002224694105,Karnataka,Kalaburagi,2021,,,synthetic_dataset.csv
MPL-OD-2018-000174,129936330.08,130864390.63,1.0071424254435122,Odisha,Koraput,2018,,,synthetic_dataset.csv
MPL-MH-2017-000175,,,,Maharashtra,Nashik,2017,,,synthetic_dataset.csv
MPL-UP-2015-000176,803500.0,,,Uttar Pradesh,Gorakhpur,2015,,,synthetic_dataset.csv
MPL-WB-2017-000177,163400.0,162490.17,0.9944318849449205,,Nadia,2017,,,synthetic_dataset.csv
MPL-PB-2015-000178,142100.0,123745.61,0.870834693877551,Punjab,Sangrur,2015,,,synthetic_dataset.csv
MPL-AP-2015-000179,1425800.0,1474493.05,1.0341513886940665,Andhra Pradesh,Srikakulam,2015,,,synthetic_dataset.csv
MPL-MP-2021-000180,64066.67,62933.19,0.9823078052909571,Madhya Pradesh,Satna,2021,,,synthetic_dataset.csv
MPL-AP-2015-000181,957100.0,924171.8,0.965595862501306,unknown,Srikakulam,2015,,,synthetic_dataset.csv
MPL-AP-2018-000182,224700.0,234059.42,1.0416529595015578,-,Srikakulam,2018,,,synthetic_dataset.csv
MPL-BR-2019-000183,758900.0,,,Bihar,Gaya,2019,,,synthetic_dataset.csv
MPL-KA-2021-000184,398300.0,,,Karnataka,Hassan,2021,,,synthetic_dataset.csv
MPL-GJ-2016-000185,1479800.0,1153491.4,0.7794914177591565,Gujarat,Surat,2016,,,synthetic_dataset.csv
MPL-RJ-2017-000186,,1281166.31,,Rajasthan,,2017,,,synthetic_dataset.csv
MPL-TN-2021-000187,898000.0,788843.96,0.8784453897550111,Tamil Nadu,Vellore,2021,,,synthetic_dataset.csv
MPL-UP-2018-000188,207200.0,144250.79,0.6961910714285715,Uttar Pradesh,Bareilly,2018,,,synthetic_dataset.csv
MPL-MP-2017-000189,,,,,Satna,2017,,,synthetic_dataset.csv
MPL-KA-2022-000190,196200.0,194663.87,0.9921705912334352,Karnataka,Mysuru,2022,,,synthetic_dataset.csv
MPL-OD-2016-000191,481200.0,449397.91,0.933910868661679,Odisha,,2016,,,synthetic_dataset.csv
MPL-KA-2016-000192,13393156.38,,,Karnataka,Belagavi,2016,,,synthetic_dataset.csv
MPL-UP-2019-000193,11088742.85,11310641.18,1.0200111349863255,Uttar Pradesh,Jhansi,2019,,,synthetic_dataset.csv
MPL-AP-2022-000194,,344397.04,,Andhra Pradesh,Guntur,,,,synthetic_dataset.csv
MPL-MH-2018-000195,1901600.0,1697012.44,0.8924129364745477,Maharashtra,Nagpur,2019,,,synthetic_dataset.csv
MPL-MH-2015-000196,205600.0,-174580.35,-0.8491262159533074,Maharashtra,Chhatrapati Sambhajinagar,2015,,,synthetic_dataset.csv
MPL-BR-2019-000197,,1894821.31,,Bihar,Nalanda,2019,,,synthetic_dataset.csv
MPL-AP-2019-000198,,1297503.89,,Andhra Pradesh,Nellore,2019,,,synthetic_dataset.csv
MPL-MH-2017-000199,1405800.0,1287799.91,0.9160619647175985,Maharashtra,Solapur,2017,,,synthetic_dataset.csv
MPL-KA-2016-000200,884000.0,,,Karnataka,Hassan,2016,,,synthetic_dataset.csv
MPL-GJ-2019-000201,2151700.0,,,Gujarat,Surat,2019,,,synthetic_dataset.csv
MPL-PB-2018-000202,46845098.53,45679289.21,0.9751135261407679,Punjab,Jalandhar,2018,,,synthetic_dataset.csv
MPL-BR-2019-000203,374800.0,386626.88,1.0315551760939168,Bihar,Patna,2019,,,synthetic_dataset.csv
MPL-MH-2020-000204,887700.0,801059.99,0.9023994480117157,Maharashtra,Pune,2020,,,synthetic_dataset.csv
MPL-UP-2017-000205,310600.0,,,Uttar Pradesh,Lucknow,2017,,,synthetic_dataset.csv
MPL-MH-2021-000206,275700.0,251574.66,0.9124942328618063,Maharashtra,Amravati,2020,,,synthetic_dataset.csv
MPL-UP-2018-000207,357400.0,327690.45,0.916873111359821,Uttar Pradesh,Jhansi,2019,,,synthetic_dataset.csv
MPL-RJ-2016-000208,5644.05,,,Rajasthan,Barmer,2016,,,synthetic_dataset.csv
MPL-UP-2016-000209,426900.0,,,Uttar Pradesh,Jhansi,2016,,,synthetic_dataset.csv
MPL-BR-2021-000210,94900.0,68822.52,0.7252109589041096,Bihar,Patna,2021,,,synthetic_dataset.csv
MPL-MP-2018-000211,536200.0,415025.72,0.7740129056322267,Madhya Pradesh,Jabalpur,2018,,,synthetic_dataset.csv
MPL-BR-2017-000212,462200.0,,,Bihar,Saran,2017,,,synthetic_dataset.csv
MPL-MH-2018-000213,610400.0,496164.73,0.8128517857142857,Maharashtra,Kolhapur,2018,,,synthetic_dataset.csv
MPL-GJ-2017-000214,673900.0,,,Gujarat,Bhavnagar,2017,,,synthetic_dataset.csv
MPL-MP-2018-000215,390600.0,263403.07,0.6743550179211469,Madhya Pradesh,Ujjain,2018,,,synthetic_dataset.csv
MPL-MP-2022-000216,2307100.0,,,Madhya Pradesh,-,2022,,,synthetic_dataset.csv
MPL-UP-2021-000217,,818509.67,,Uttar Pradesh,Jhansi,2021,,,synthetic_dataset.csv
MPL-MP-2015-014772,318300.0,333044.69,1.0463232485076972,Uttar Pradesh,Jhansi,,,,synthetic_dataset.csv
MPL-OD-2016-000219,1024800.0,,,Odisha,Mayurbhanj,2016,,,synthetic_dataset.csv
MPL-TN-2016-000220,440400.0,477318.8,1.0838301544050863,Tamil Nadu,Tirunelveli,2016,,,synthetic_dataset.csv
MPL-KA-2019-000221,1177600.0,1270928.13,1.079252827785326,Karnataka,Shivamogga,2019,,,synthetic_dataset.csv
MPL-WB-2019-000222,523200.0,,,West Bengal,Jalpaiguri,2019,,,synthetic_dataset.csv
MPL-RJ-2016-000223,556100.0,,,Rajasthan,Bhilwara,2016,,,synthetic_dataset.csv
MPL-PB-2017-000224,1307100.0,,,Punjab,Ludhiana,2017,,,synthetic_dataset.csv
MPL-KA-2020-000225,,759761.76,,Karnataka,Ballari,2020,,,synthetic_dataset.csv
MPL-OD-2019-000226,1998400.0,1683183.94,0.8422657826261009,Odisha,Balasore,2019,,,synthetic_dataset.csv
MPL-UP-2016-000227,334200.0,362434.55,1.0844839916217834,Uttar Pradesh,Varanasi,2016,,,synthetic_dataset.csv
MPL-BR-2016-000228,126400.0,110996.01,0.8781329905063291,Bihar,Bhagalpur,2016,,,synthetic_dataset.csv
MPL-RJ-2015-000229,1157400.0,1120334.8,0.9679754622429584,Rajasthan,N/A,2015,,,synthetic_dataset.csv
MPL-UP-2016-000230,2665800.0,2084077.37,0.781783093255308,Uttar Pradesh,Meerut,2016,,,synthetic_dataset.csv
MPL-MH-2015-000231,1001600.0,900507.03,0.8990685203674121,,Pune,2015,,,synthetic_dataset.csv
MPL-WB-2022-000232,2239400.0,2094737.75,0.9354013351790659,West Bengal,Purba Bardhaman,2022,,,synthetic_dataset.csv
MPL-PB-2016-000233,68600.0,63699.49,0.9285639941690962,,Patiala,2016,,,synthetic_dataset.csv
MPL-BR-2021-000234,245700.0,196919.42,0.8014628408628409,Bihar,unknown,2021,,,synthetic_dataset.csv
MPL-OD-2017-000235,1083400.0,1080873.07,0.9976675927635223,Odisha,N/A,2017,,,synthetic_dataset.csv
MPL-GJ-2019-000236,199000.0,201618.63,1.013158944723618,Gujarat,Junagadh,2019,,,synthetic_dataset.csv
MPL-WB-2020-000237,125600.0,113428.48,0.9030929936305733,West Bengal,Bankura,2020,,,synthetic_dataset.csv
MPL-GJ-2021-000238,1181000.0,,,Gujarat,Rajkot,2021,,,synthetic_dataset.csv
MPL-UP-2021-000239,362000.0,359633.64,0.993463093922652,Uttar Pradesh,Varanasi,2021,,,synthetic_dataset.csv
MPL-UP-2016-000240,782400.0,750580.6,0.9593310327198363,NULL,Meerut,2016,,,synthetic_dataset.csv
MPL-GJ-2016-000241,108800.0,116173.85,1.0677743566176472,Gujarat,Mehsana,2016,,,synthetic_dataset.csv
MPL-GJ-2020-000242,1221500.0,1007105.54,0.8244826361031519,Gujarat,Bhavnagar,2020,,,synthetic_dataset.csv
MPL-MH-2019-000243,965300.0,1068665.14,1.107080845333057,Maharashtra,Amravati,2019,,,synthetic_dataset.csv
